volgorde,instantie,titel,type,oorspronkelijke_eigenaar,nieuwe_houder,statuswijziging,hoe,titel_communicatie,ontvanger_communicatie,communicatie_type,contactvorm,gevraagde_actie,aard,aard_toelichting,wanneer,aantal,doelgroep,waarom_eerste_3_maanden,knelpunten,bron
40,Toeslagen,Herziene VT,Recht,Overledene,x,"Vervalt, evt verrekening nodig",Automatisch,,,Toeslagen,,"Geen, gaat automatisch",Beleid,Toeslagen is een voorschot op basis van vastgestelde of geschatte inkomensgegevens. Bij overlijden wijzigt de inkomenssituatie (m.n. bij een achterblijvende partner en/of thuiswonende kinderen). Voorkomen dat de nabestaanden van de overleden toeslaggerechtigde onbedoeld in financiele problemen komen,Doorgaans al binnen 1 week na overlijden.,Plusminus 90.000 tot 100.000 overledenen (toeslaggerechtigden) per jaar.,Particulieren,Voorkomen dat de nabestaanden van de overleden toeslaggerechtigde onbedoeld in financiele problemen komen,"Geen, het meeste gebeurt automatisch. In bepaalde gevallen moeten nabestaanden hun inkomensgegevens aanpassen aan de nieuwe situatie, zodat het recht op toeslag blijft bestaan (maar wel op basis van de inkomensgegevens na overlijden).",
41,Toeslagen,Herziene VT beschikking,Communicatie,,,,,Herziene VT beschikking,Nabestaanden,Beschikking (per Toeslagsoort!!),"Brief, beschikking","Geen, gaat automatisch",Beleid,,Binnen 5 weken ontvangen de nabestaanden hiervan bericht. Ook van de verdere afhandeling van de toeslagen krijgen de nabestaanden van ons bericht.,Plusminus 90.000 tot 100.000 overledenen (toeslaggerechtigden) per jaar.,Particulieren,Voorkomen dat de nabestaanden van de overleden toeslaggerechtigde onbedoeld in financiele problemen komen,"Geen, het meeste gebeurt automatisch. In bepaalde gevallen moeten nabestaanden hun inkomensgegevens aanpassen aan de nieuwe situatie, zodat het recht op toeslag blijft bestaan (maar wel op basis van de inkomensgegevens na overlijden).",
42,Toeslagen,Terugvorderingsbeschikking,Verplichting,Overledene,"Erven, nalatenschap",Verplichting blijft,,,,Terugvordering (per Toeslagsoort!!),,Betaling,Beleid,Toeslagen is een voorschot op basis van vastgestelde of geschatte inkomensgegevens. Bij overlijden wijzigt de inkomenssituatie (m.n. bij een achterblijvende partner en/of thuiswonende kinderen). Voorkomen dat de nabestaanden van de overleden toeslaggerechtigde onbedoeld in financiele problemen komen,,Plusminus 90.000 tot 100.000 overledenen (toeslaggerechtigden) per jaar.,Particulieren,Voorkomen dat de nabestaanden van de overleden toeslaggerechtigde onbedoeld in financiele problemen komen,,
43,Toeslagen,Terugvorderingsbeschikking,Communicatie,,,,,Terugvorderingsbeschikking,Nabestaanden,Betaling,"Brief, beschikking",Betaling,Beleid,,Binnen 1 week na herziene VT beschiklking.,Plusminus 90.000 tot 100.000 overledenen (toeslaggerechtigden) per jaar.,Particulieren,Voorkomen dat de nabestaanden van de overleden toeslaggerechtigde onbedoeld in financiele problemen komen,,
44,Toeslagen,Eigen 'vragenbrief contactpersoon'/condoleancebrief???,x,,,,,Eigen 'vragenbrief contactpersoon'/condoleancebrief???,,Nog niet in productie,,n.v.t.,,,,,,,,
45,Belastingdienst (Erfbelasting),Erfbelasting,Verplichting,x,Erven,Nieuw,Handmatig,Erfbelasting,Erven,,,Aangifte,,Aangifte doen over ontvangen nalatenschap.,Binnen 4 maand na overlijden. Kan 'in theorie' ook binnen 3 maand zijn,,Particulieren,,Aangifte moet worden ingediend binnen 8 maand na overlijden. Daarna wordt belastingrente berekend en volgt er een herinnering en uiteindelijk een ambtshalve aanslag,
46,Belastingdienst (Erfbelasting),Uitnodiging of brief beoorderling aangifte erfbelasting,Communicatie,,,,,Uitnodiging of brief beoorderling aangifte erfbelasting,Erven,Uitnodigingsbrief of informatieverstrekking,Brief,Aangifte,,Aangifte doen over ontvangen nalatenschap.,Binnen 4 maand na overlijden. Kan 'in theorie' ook binnen 3 maand zijn,,Particulieren,,Aangifte moet worden ingediend binnen 8 maand na overlijden. Daarna wordt belastingrente berekend en volgt er een herinnering en uiteindelijk een ambtshalve aanslag,
47,Belastingdienst Particulieren,Nabestaandenmachtiging,Dienstverlening,x,Nabestaanden,Nieuw,Handmatig,,,,,,,,,,Particulieren,,Zonder nabestaandenmachtiging kunnen nabestaanden feitelijk niet de afhandeling van de fiscale zaken van de overledene doen.,
48,Belastingdienst Particulieren,Brief akkoord of niet akkoord nabestaandenmachtiging,Communicatie,,,,,Brief akkoord of niet akkoord nabestaandenmachtiging,Nabestaanden,Informatieverstrekking,Brief / telefonisch,Geen,?,,Afhankelijk van de datum aanvraag nabestaandemachtiging kan binnen 3 maand zijn.,"Geen exacte aantallen opgevraagd, maar wel groeiende (en substantieel).",Particulieren,Afhankelijk van datum aanvraag nabestaandenmachtiging,Zonder nabestaandenmachtiging kunnen nabestaanden feitelijk niet de afhandeling van de fiscale zaken van de overledene doen.,
49,SVB,AOW,Recht,Overledene,x,"Vervalt, evt verrekening nodig",Automatisch,,,,,,Wet,Recht op AOW stopt bij overlijden,ongeveer twee weken,,Particulieren,recht op AOW stopt bij overlijden,geen verplichting,
