volgorde,instantie,titel,type,oorspronkelijke_eigenaar,nieuwe_houder,statuswijziging,hoe,titel_communicatie,ontvanger_communicatie,communicatie_type,contactvorm,gevraagde_actie,aard,aard_toelichting,wanneer,aantal,doelgroep,waarom_eerste_3_maanden,knelpunten,bron
11,KVK,Uitschrijving UBO,Communicatie,,,,,AWB - bevestigingsbrief uitschrijving UBO - organisatie,Organisatie,Bevestiging,Brief,Geen,Wet,Algemene Wet Bestuursrecht (AWB). Wet bepaalt dat deze brief verstuurd moet worden.,Na uitschrijving,,Organisaties,Wordt verstuurd na uitschrijving volgens AWB.,,"UBO's zijn de uiteindelijke eigenaren of personen die mogen beslissen in een organisatie. Denk aan mensen die meer dan 25% van de aandelen hebben in een bv. Of mensen die meer dan 25% eigenaar zijn van een vof of maatschap, of meer dan 25% stemrecht bij een statutenwijziging van een stichting of vereniging. Heeft niemand zo'n belang van meer dan 25%? Dan zijn de hoger leidinggevende(n), bijvoorbeeld de vennoten of de statutaire bestuurders, de UBO's. Iedere UBO-plichtige organisatie heeft één of meer UBO's."
12,KVK,Inschrijving nieuwe UBO,Verplichting Geen communicatie,Organisatie,Organisatie,Verplichting blijft,Handmatig,,,Verplichte administratieve handeling,Geen,Wijziging/opgave doorgeven,Wet,Algemene Wet Bestuursrecht (AWB),Binnen 7 dagen,,Organisaties,"Deze verplichting is altijd geldig, voor overlijden van een bestuurder wordt geen uitzondering gemaakt.","Het niet (juist) geregistreerd hebben staan van UBO’s is een economisch delict. Problemen met inschrijven nieuwe bestuurder als oude nog niet is uitgeschreven in Handelsregister. Er wordt niet actief over gecommuniceerd vanuit KVK, maar heeft ook geen negatieve gevolgen in de vorm van boetes o.i.d. bij nabestaanden Als de nieuwe UBO niet is geregistreerd, kan er geen eigen UBO-uittreksel opgevraagd worden, terwijl dat vaak wel verlangd wordt door o.a. banken in het kader van het wijzigen van de tenaamstelling van de zakelijke rekening van de overleden ondernemer/diens bedrijf.",
13,KVK,Abonnementen,Verplichting,Organisatie,Organisatie,"Verplichting blijft, maar kan worden opgezegd",Handmatig,,,Betalingsverplichting,,,Contract,,,,,,,
14,KVK,Abonnementen,Verplichting,Organisatie,Organisatie,"Verplichting blijft, maar kan worden opgezegd",Handmatig,Factuur voor bepaalde abonnementen,Organisatie,Betaling,Factuur (brief of digitaal?),Betaling,Contract,"Systeem weet niet dat contactpersoon is overleden, CRM heeft geen koppeling met BRP",Afhankelijk van factuurdatum,,Organisaties,Gaat automatisch,Incasso als er niet wordt betaald. Standaard factuur gericht aan overledene,
15,Belastingdienst (Algemeen),Gegevens nabestaanden/erven nodig,Verzoek,nvt,nvt,nvt,Handmatig,,,,,,,,,,,,,
16,Belastingdienst (Algemeen),Vragenbrief contactpersoon,Communicatie,,,,,Vragenbrief contactpersoon,Nabestaanden,Informatieverzoek,Brief plus antwoordformulier,Doorgeven van 1 contactpersoon als ontvanger van alle post vanuit de Belastingdienst voor de overledene.,Wet,"Ieder fiscaal besluit, met betrekking de heffing en invordering van belastingen of tegemoetkomingen op grond van inkomensafhankelijke regelingen, moet direct kenbaar worden gemaakt (en dus bestemd kunnen worden). De berichtenbox van de overledene is niet toegankelijk voor de nabestaanden. De regeling EBV schrijft voor dat met nabestaanden anders dan via de elektronische weg (dus bijv. per brief) gecommuniceerd moet worden.",2-4 weken,187.500 per jaar,"Particulieren, nabestaanden",Omdat de heffing (incl. inning) en invordering termijnen kennen. Deze gaan lopen vanaf datum dagtekening fiscaal besluit/bekendmaking of een in de brief aangegeven datum.,"Post wordt welliswaar verzonden, in dat geval naar het laatst bekende woon-/postadres van de overledene, maar in veel gevallen is dan onzeker of deze de nabestaanden ook (tijdig) bereikt, waardoor mogelijk kans op aangifte- of betaalverzuim (incl. boete of heffingsrente).",https://wetten.overheid.nl/BWBR0037127/2024-07-25
17,Belastingdienst (Inning),Ervenbrief,Communicatie,,,,,Ervenbrief,Erven,Informatieverzoek,Brief plus antwoordformulier,Doorgeven van rekeningnummer na overlijden bij: - 1e teruggaaf op naam van overledene of bij ... - geweigerde uitbetaling (indien bankrekeningnummer overledene is opgeheven). Bewijsstukken opsturen,Wet,"Als we een uitbetaling doen, dan hebben we een rekeningnummer nodig. Ieder uit te betalen bedrag moet juist bestemd kunnen worden.",vanaf 1-2 weken,150.000 per jaar,"Particulieren, erven",Een uit te betalen bedrag moet direct en juist bestemd kunnen worden.,Uit te betalen bedragen worden bewaard totdat het nieuwe rekeningnummer bekend is. Met een maximum van 5 (of 7?) jaar. Daarna vervalt het bedrag aan de Staat. N.B. in sommige gevallen kan het bedrag worden verrekend met een openstaande schuld.,
18,Belastingdienst (inning),Betaling van openstaande verplichtingen,Verplichting,Overledene,"Erven, nalatenschap",Verplichting blijft,Handmatig,,,Betalingsverplichting,,,Wet,,,Onbekend,,,,
19,Belastingdienst (inning),Herinnering nog openstaande betaling,Communicatie,,,,,Herinnering nog openstaande betaling,Nabestaanden,Herinnering,Brief,Betaling,Wet,Betaling van opgelegde aanslag of termijn betalingsregeling gemist Invorderingswet 1990; Leidraad invordering,Kan in de situatie dat er vlak voor overlijden een te betalen aanslag is opgelegd. Of wanneer de overledene een betalingsregeling had en er niet is voldaan aan de betalingsregeling,Onbekend,Particulieren,Wettelijke of overeengekomen betaaltermijnen,"Extra kosten bij niet (tijdig) betalen, zoals boete, heffingsrente, invorderingskosten.",Invorderingswet 1990; Leidraad invordering
20,Belastingdienst (inning),Betaling van termijn betalingsregeling,Communicatie,,,,,Betaling van termijn betalingsregeling,Nabestaanden,Informatieverstrekking,Brief,Niets,Wet,"Iedere wijziging in de fiscale situatie moet onverwijld worden gecommuniceerd, dus ook deze.",Kan al indien vlak na overlijden aan een betalingstermijn/-regeling is voldaan,Onbekend,Particulieren,"Iedere wijziging in de fiscale situatie moet onverwijld worden gecommuniceerd, dus ook deze.","Geen, de nabestaanden hoeven immers niks meer te doen. Knelpunt ontstaat bij niet betalen (zie volgende rij).",
21,Belastingdienst (inning),Geweigerde incasso,Communicatie,,,,,Geweigerde incasso,Nabestaanden,Navragen,,,Beleid,Leidraad Invordering,,,Particulieren,,,
22,Belastingdienst (Inkomstenbelasting),Terguggave tegemoetkoming specifieke zorgkosten,Recht,Overledene,x,"Vervalt, evt verrekening nodig",Automatsch,,,,,,,,,,,,,
23,Belastingdienst (Inkomstenbelasting),Terguggave tegemoetkoming specifieke zorgkosten,Communicatie,,,,,Terguggave tegemoetkoming specifieke zorgkosten,Nabestaanden,Informatieverstrekking,Brief,Niets,Wet,"Wet op de inkomstenbelasting. Inkomensafhankelijke regeling (om mensen met laag inkomen niet te benadelen). Door combinatie van laag inkomen én aftrek van hoge ziektekosten, is mogelijk niet maximaal gebruik gemaakt van heffingskortingen. Dit wordt ongedaan gemaakt met de TSZ.","Na aangifte IH, maar kan dus samenvallen met periode van overlijden.",Geen aantallen bekend voor doelgroep nabestaanden. Wel denkbaar dat dit veel voor kan komen (leeftijd bij overlijden en combinatie met ziektekosten).,Particulieren,"Hoeft niet, kan wel toevallig zo uitkomen.","Geen, de nabestaanden hoeven immers niks te doen",https://www.belastingdienst.nl/wps/wcm/connect/bldcontentnl/belastingdienst/prive/relatie_familie_en_gezondheid/gezondheid/tegemoetkoming_specifieke_zorgkosten/waarom_een_tegemoetkoming
24,Belastingdienst (Inkomstenbelasting),Stopzetten uitbetalen VA lopende jaar,Recht,Overledene,x,"Vervalt, evt verrekening nodig",Automatsch,,,,,,Wet,Wet op de inkomstenbelasting,,,,,,
25,Belastingdienst (Inkomstenbelasting),Stopzetten uitbetalen VA lopende jaar,Communicatie,,,,,Stopzetten uitbetalen VA lopende jaar,Nabestaanden,Informatieverstrekking,Brief,Controleren,Wet,Wet op de inkomstenbelasting,Binnen 8 weken,Onbekend,Particulieren,Uitbetaling VA loopt anders door.,Mogelijk onterecht te hoge teruggaaf die later terug moet worden betaald.,"https://www.belastingdienst.nl/wps/wcm/connect/nl/na-een-overlijden/content/een-voorlopige-aanslag-stoppen-of-wijzigen-bij-een-overlijden#:~:text=Dat%20kan%20met%20het%20formulier,Mijn%20Belastingdienst%20van%20de%20overledene."
26,Belastingdienst (Inkomstenbelasting),Aangifte IH jaar voor het overlijden,Verplichting,Overledene,"Erven, nalatenschap",Verplichting blijft,Handmatig,,Nabestaanden,Verplichte aangifte,,Doen van aangifte IH voor een overledene,Wet,Wet op de inkomstenbelasting,,Onbekend,Particulieren,Standaard verzending,Het niet doen van aangifte leidt tot aangifteverzuim. Daarop volgt een herinnering om alsnog aangifte te doen (zie volgende rij). Indien geen aangifte wordt gedaan (en ook geen uitstel is verleend) wordt een ambsthalve aanslag opgelegd.,Wet inkomstenbelasting 2001
27,Belastingdienst (Inkomstenbelasting),Uitnodiging tot het doen van aangifte IH jaar voor het overlijden,Communicatie,,,,,Uitnodiging tot het doen van aangifte IH jaar voor het overlijden,Nabestaanden,Uittnodiging,Brief,Doen van aangifte IH voor een overledene,Wet,Wet op de inkomstenbelasting,Afhankelijk van het moment van overlijden of dit voorkomt. Overlijden in januari of februari,Onbekend,Particulieren,Standaard verzending,Het niet doen van aangifte leidt tot aangifteverzuim. Daarop volgt een herinnering om alsnog aangifte te doen (zie volgende rij). Indien geen aangifte wordt gedaan (en ook geen uitstel is verleend) wordt een ambsthalve aanslag opgelegd.,Wet inkomstenbelasting 2001
